regione_residenza_domicilio,amministrazione_appartenenza,sesso,eta_max,eta_min,modalita_autenticazione,numero_occorrenze
ABRUZZO,A.O. S. GIOVANNI ADDOLORATA,F,34,25,SPID,2
ABRUZZO,A.O. S. GIOVANNI ADDOLORATA,M,34,25,SPID,3
ABRUZZO,A.O.R.N. ANTONIO CARDARELLI,M,44,35,SPID,3
ABRUZZO,A.O.R.N. ANTONIO CARDARELLI,M,54,45,SPID,2
ABRUZZO,AGENZIA DEL DEMANIO,F,44,35,SPID,3
ABRUZZO,AGENZIA DEL DEMANIO,F,54,45,CIE,2
ABRUZZO,AGENZIA DEL DEMANIO,F,54,45,SPID,10
ABRUZZO,AGENZIA DEL DEMANIO,M,44,35,SPID,8
ABRUZZO,AGENZIA DEL DEMANIO,M,54,45,SPID,9
ABRUZZO,AGENZIA DEL DEMANIO,M,64,55,SPID,6
ABRUZZO,AGENZIA DELLE DOGANE,F, ,65,SPID,5
ABRUZZO,AGENZIA DELLE DOGANE,F,34,25,SPID,7
ABRUZZO,AGENZIA DELLE DOGANE,F,44,35,SPID,19
ABRUZZO,AGENZIA DELLE DOGANE,F,54,45,SPID,18
ABRUZZO,AGENZIA DELLE DOGANE,F,64,55,CIE,3
ABRUZZO,AGENZIA DELLE DOGANE,F,64,55,SPID,31
ABRUZZO,AGENZIA DELLE DOGANE,M, ,65,SPID,5
ABRUZZO,AGENZIA DELLE DOGANE,M,34,25,SPID,22
ABRUZZO,AGENZIA DELLE DOGANE,M,44,35,SPID,17
ABRUZZO,AGENZIA DELLE DOGANE,M,54,45,CIE,2
ABRUZZO,AGENZIA DELLE DOGANE,M,54,45,SPID,34
ABRUZZO,AGENZIA DELLE DOGANE,M,64,55,CIE,5
ABRUZZO,AGENZIA DELLE DOGANE,M,64,55,SPID,33
ABRUZZO,AGENZIA DELLE ENTRATE,F, ,65,CNS,4
ABRUZZO,AGENZIA DELLE ENTRATE,F, ,65,SPID,31
ABRUZZO,AGENZIA DELLE ENTRATE,F,34,25,SPID,65
ABRUZZO,AGENZIA DELLE ENTRATE,F,44,35,CIE,2
ABRUZZO,AGENZIA DELLE ENTRATE,F,44,35,CNS,2
ABRUZZO,AGENZIA DELLE ENTRATE,F,44,35,SPID,76
ABRUZZO,AGENZIA DELLE ENTRATE,F,54,45,CIE,4
ABRUZZO,AGENZIA DELLE ENTRATE,F,54,45,CNS,5
ABRUZZO,AGENZIA DELLE ENTRATE,F,54,45,SPID,126
ABRUZZO,AGENZIA DELLE ENTRATE,F,64,55,CIE,12
ABRUZZO,AGENZIA DELLE ENTRATE,F,64,55,CNS,25
ABRUZZO,AGENZIA DELLE ENTRATE,F,64,55,SPID,146
ABRUZZO,AGENZIA DELLE ENTRATE,M, ,65,CIE,6
ABRUZZO,AGENZIA DELLE ENTRATE,M, ,65,CNS,9
ABRUZZO,AGENZIA DELLE ENTRATE,M, ,65,SPID,42
ABRUZZO,AGENZIA DELLE ENTRATE,M,34,25,CIE,3
ABRUZZO,AGENZIA DELLE ENTRATE,M,34,25,SPID,61
ABRUZZO,AGENZIA DELLE ENTRATE,M,44,35,CIE,5
ABRUZZO,AGENZIA DELLE ENTRATE,M,44,35,SPID,94
ABRUZZO,AGENZIA DELLE ENTRATE,M,54,45,CIE,8
ABRUZZO,AGENZIA DELLE ENTRATE,M,54,45,CNS,5
ABRUZZO,AGENZIA DELLE ENTRATE,M,54,45,SPID,106
ABRUZZO,AGENZIA DELLE ENTRATE,M,64,55,CIE,17
ABRUZZO,AGENZIA DELLE ENTRATE,M,64,55,CNS,16
ABRUZZO,AGENZIA DELLE ENTRATE,M,64,55,SPID,200
ABRUZZO,ANSFISA - AGENZIA NAZIONALE PER LA SICUREZZA DELLE FERROVIE E DELLE INFRASTRUTTURE STRADALI E AUTOSTRADALI,M,44,35,SPID,4
ABRUZZO,AVVOCATURA GENERALE DELLO STATO,F,34,25,SPID,2
ABRUZZO,AVVOCATURA GENERALE DELLO STATO,F,44,35,SPID,2
ABRUZZO,AVVOCATURA GENERALE DELLO STATO,F,54,45,SPID,5
ABRUZZO,AVVOCATURA GENERALE DELLO STATO,F,64,55,CNS,3
ABRUZZO,AVVOCATURA GENERALE DELLO STATO,M, ,65,CNS,2
ABRUZZO,AVVOCATURA GENERALE DELLO STATO,M, ,65,SPID,2
ABRUZZO,AVVOCATURA GENERALE DELLO STATO,M,34,25,SPID,2
ABRUZZO,AVVOCATURA GENERALE DELLO STATO,M,54,45,SPID,4
ABRUZZO,AZIENDA OSPEDALIERA SAN CAMILLO FORLANINI,F,34,25,SPID,3
ABRUZZO,AZIENDA OSPEDALIERA SAN CAMILLO FORLANINI,F,54,45,SPID,4
ABRUZZO,AZIENDA REGIONALE EMERGENZA SANITARIA,F,44,35,SPID,2
ABRUZZO,AZIENDA REGIONALE EMERGENZA SANITARIA,F,64,55,SPID,2
ABRUZZO,AZIENDA REGIONALE EMERGENZA SANITARIA,M,44,35,SPID,8
ABRUZZO,AZIENDA REGIONALE EMERGENZA SANITARIA,M,54,45,SPID,3
ABRUZZO,AZIENDA REGIONALE EMERGENZA SANITARIA,M,64,55,SPID,3
ABRUZZO,AZIENDA SANITARIA LOCALE VITERBO,F,34,25,SPID,2
ABRUZZO,AZIENDA SANITARIA LOCALE VITERBO,M,34,25,SPID,3
ABRUZZO,AZIENDA SANITARIA LOCALE ROMA 2,F,34,25,SPID,5
ABRUZZO,AZIENDA SANITARIA LOCALE ROMA 2,F,44,35,SPID,2
ABRUZZO,AZIENDA SANITARIA LOCALE ROMA 2,F,54,45,SPID,3
ABRUZZO,AZIENDA SANITARIA LOCALE ROMA 2,F,64,55,SPID,4
ABRUZZO,AZIENDA SANITARIA LOCALE ROMA 2,M,44,35,SPID,4
ABRUZZO,AZIENDA SANITARIA LOCALE ROMA 2,M,54,45,SPID,2
ABRUZZO,AZIENDA SANITARIA LOCALE LATINA,M,64,55,SPID,2
ABRUZZO,AZIENDA SANITARIA LOCALE ROMA 5,F,34,25,SPID,5
ABRUZZO,AZIENDA SANITARIA LOCALE ROMA 5,F,44,35,SPID,5
ABRUZZO,AZIENDA SANITARIA LOCALE ROMA 5,F,54,45,CIE,2
ABRUZZO,AZIENDA SANITARIA LOCALE ROMA 5,F,54,45,SPID,2
ABRUZZO,AZIENDA SANITARIA LOCALE ROMA 5,F,64,55,SPID,3
ABRUZZO,AZIENDA SANITARIA LOCALE ROMA 5,M,34,25,SPID,2
ABRUZZO,AZIENDA SANITARIA LOCALE ROMA 5,M,54,45,SPID,3
ABRUZZO,AZIENDA SANITARIA LOCALE ROMA 3,F,64,55,SPID,3
ABRUZZO,AZIENDA SANITARIA LOCALE RIETI,F,34,25,SPID,10
ABRUZZO,AZIENDA SANITARIA LOCALE RIETI,F,44,35,SPID,10
ABRUZZO,AZIENDA SANITARIA LOCALE RIETI,F,54,45,SPID,6
ABRUZZO,AZIENDA SANITARIA LOCALE RIETI,F,64,55,SPID,3
ABRUZZO,AZIENDA SANITARIA LOCALE RIETI,M,34,25,SPID,2
ABRUZZO,AZIENDA SANITARIA LOCALE RIETI,M,44,35,SPID,3
ABRUZZO,AZIENDA SANITARIA LOCALE RIETI,M,54,45,SPID,3
ABRUZZO,AZIENDA SANITARIA LOCALE RIETI,M,64,55,SPID,3
ABRUZZO,AZIENDA SANITARIA LOCALE ROMA 4,F,44,35,SPID,2
ABRUZZO,AZIENDA SANITARIA LOCALE ROMA 4,F,64,55,SPID,2
ABRUZZO,AZIENDA SANITARIA LOCALE ROMA 4,M,44,35,SPID,2
ABRUZZO,AZIENDA SANITARIA LOCALE ROMA 6,F,44,35,SPID,4
ABRUZZO,AZIENDA SANITARIA LOCALE ROMA 6,F,64,55,SPID,2
ABRUZZO,AZIENDA SANITARIA LOCALE ROMA 6,M,34,25,SPID,2
ABRUZZO,CONSIGLIO DI STATO E T.A.R.,F, ,65,SPID,3
ABRUZZO,CONSIGLIO DI STATO E T.A.R.,F,34,25,SPID,2
ABRUZZO,CONSIGLIO DI STATO E T.A.R.,F,44,35,SPID,3
ABRUZZO,CONSIGLIO DI STATO E T.A.R.,F,54,45,SPID,5
ABRUZZO,CONSIGLIO DI STATO E T.A.R.,M,34,25,SPID,3
ABRUZZO,CONSIGLIO DI STATO E T.A.R.,M,44,35,SPID,3
ABRUZZO,CONSIGLIO DI STATO E T.A.R.,M,54,45,SPID,7
ABRUZZO,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA,F,54,45,SPID,5
ABRUZZO,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA,F,64,55,SPID,5
ABRUZZO,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA,M,44,35,SPID,4
ABRUZZO,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA,M,54,45,SPID,8
ABRUZZO,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA,M,64,55,SPID,5
ABRUZZO,CORTE DEI CONTI,F,34,25,SPID,2
ABRUZZO,CORTE DEI CONTI,F,44,35,SPID,8
ABRUZZO,CORTE DEI CONTI,F,54,45,SPID,9
ABRUZZO,CORTE DEI CONTI,F,64,55,SPID,9
ABRUZZO,CORTE DEI CONTI,M,44,35,SPID,2
ABRUZZO,CORTE DEI CONTI,M,54,45,CIE,2
ABRUZZO,CORTE DEI CONTI,M,54,45,SPID,11
ABRUZZO,CORTE DEI CONTI,M,64,55,SPID,4
ABRUZZO,ENTE PARCO NAZIONALE DELLA MAJELLA,F,54,45,SPID,6
ABRUZZO,ENTE PARCO NAZIONALE DELLA MAJELLA,F,64,55,SPID,4
ABRUZZO,ENTE PARCO NAZIONALE DELLA MAJELLA,M, ,65,SPID,3
ABRUZZO,ENTE PARCO NAZIONALE DELLA MAJELLA,M,54,45,SPID,4
ABRUZZO,ENTE PARCO NAZIONALE DELLA MAJELLA,M,64,55,SPID,3
ABRUZZO,ENTE PARCO NAZIONALE DEL GRAN SASSO E MONTI DELLA LAGA,F,54,45,SPID,5
ABRUZZO,ENTE PARCO NAZIONALE DEL GRAN SASSO E MONTI DELLA LAGA,F,64,55,CIE,2
ABRUZZO,ENTE PARCO NAZIONALE DEL GRAN SASSO E MONTI DELLA LAGA,F,64,55,SPID,3
ABRUZZO,ENTE PARCO NAZIONALE DEL GRAN SASSO E MONTI DELLA LAGA,M,54,45,SPID,5
ABRUZZO,ENTE PARCO NAZIONALE DEL GRAN SASSO E MONTI DELLA LAGA,M,64,55,CIE,2
ABRUZZO,ENTE PARCO NAZIONALE DEL GRAN SASSO E MONTI DELLA LAGA,M,64,55,SPID,10
ABRUZZO,GUARDIA DI FINANZA,F,24,18,SPID,141
ABRUZZO,GUARDIA DI FINANZA,F,34,25,CIE,5
ABRUZZO,GUARDIA DI FINANZA,F,34,25,SPID,263
ABRUZZO,GUARDIA DI FINANZA,F,44,35,SPID,26
ABRUZZO,GUARDIA DI FINANZA,F,54,45,SPID,9
ABRUZZO,GUARDIA DI FINANZA,M,24,18,CIE,10
ABRUZZO,GUARDIA DI FINANZA,M,24,18,SPID,331
ABRUZZO,GUARDIA DI FINANZA,M,34,25,CIE,6
ABRUZZO,GUARDIA DI FINANZA,M,34,25,SPID,568
ABRUZZO,GUARDIA DI FINANZA,M,44,35,CIE,8
ABRUZZO,GUARDIA DI FINANZA,M,44,35,SPID,155
ABRUZZO,GUARDIA DI FINANZA,M,54,45,CIE,27
ABRUZZO,GUARDIA DI FINANZA,M,54,45,CNS,2
ABRUZZO,GUARDIA DI FINANZA,M,54,45,SPID,505
ABRUZZO,GUARDIA DI FINANZA,M,64,55,CIE,19
ABRUZZO,GUARDIA DI FINANZA,M,64,55,SPID,396
ABRUZZO,IRCCS LAZZARO SPALLANZANI,M,34,25,SPID,3
ABRUZZO,ISPETTORATO NAZIONALE DEL LAVORO,F, ,65,SPID,8
ABRUZZO,ISPETTORATO NAZIONALE DEL LAVORO,F,34,25,SPID,4
ABRUZZO,ISPETTORATO NAZIONALE DEL LAVORO,F,44,35,CIE,2
ABRUZZO,ISPETTORATO NAZIONALE DEL LAVORO,F,44,35,SPID,21
ABRUZZO,ISPETTORATO NAZIONALE DEL LAVORO,F,54,45,SPID,30
ABRUZZO,ISPETTORATO NAZIONALE DEL LAVORO,F,64,55,CIE,3
ABRUZZO,ISPETTORATO NAZIONALE DEL LAVORO,F,64,55,CNS,3
ABRUZZO,ISPETTORATO NAZIONALE DEL LAVORO,F,64,55,SPID,37
ABRUZZO,ISPETTORATO NAZIONALE DEL LAVORO,M, ,65,SPID,6
ABRUZZO,ISPETTORATO NAZIONALE DEL LAVORO,M,34,25,SPID,8
ABRUZZO,ISPETTORATO NAZIONALE DEL LAVORO,M,44,35,SPID,14
ABRUZZO,ISPETTORATO NAZIONALE DEL LAVORO,M,54,45,SPID,27
ABRUZZO,ISPETTORATO NAZIONALE DEL LAVORO,M,64,55,CIE,2
ABRUZZO,ISPETTORATO NAZIONALE DEL LAVORO,M,64,55,CNS,2
ABRUZZO,ISPETTORATO NAZIONALE DEL LAVORO,M,64,55,SPID,16
ABRUZZO,ISTITUTO SUPERIORE DI SANITA',F,44,35,SPID,2
ABRUZZO,ISTITUTO SUPERIORE DI SANITA',F,64,55,SPID,3
ABRUZZO,ISTITUTO SUPERIORE DI SANITA',M,64,55,SPID,2
ABRUZZO,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,F, ,65,SPID,2
ABRUZZO,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,F,34,25,SPID,5
ABRUZZO,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,F,54,45,SPID,2
ABRUZZO,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,M,34,25,SPID,4
ABRUZZO,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,M,44,35,SPID,2
ABRUZZO,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,M,54,45,SPID,5
ABRUZZO,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,M,64,55,SPID,4
ABRUZZO,MINISTERO DEL LAVORO E DELLE POLITICHE SOCIALI,F,44,35,SPID,7
ABRUZZO,MINISTERO DEL LAVORO E DELLE POLITICHE SOCIALI,F,54,45,SPID,3
ABRUZZO,MINISTERO DEL LAVORO E DELLE POLITICHE SOCIALI,M,44,35,SPID,2
ABRUZZO,MINISTERO DELL'AGRICOLTURA  DELLA SOVRANITA' ALIMENTARE E DELLE FORESTE,F,64,55,CNS,2
ABRUZZO,MINISTERO DELL'AGRICOLTURA  DELLA SOVRANITA' ALIMENTARE E DELLE FORESTE,F,64,55,SPID,3
ABRUZZO,MINISTERO DELL'AGRICOLTURA  DELLA SOVRANITA' ALIMENTARE E DELLE FORESTE,M, ,65,SPID,2
ABRUZZO,MINISTERO DELL'AGRICOLTURA  DELLA SOVRANITA' ALIMENTARE E DELLE FORESTE,M,44,35,SPID,2
ABRUZZO,MINISTERO DELL'AGRICOLTURA  DELLA SOVRANITA' ALIMENTARE E DELLE FORESTE,M,54,45,SPID,5
ABRUZZO,MINISTERO DELL'AGRICOLTURA  DELLA SOVRANITA' ALIMENTARE E DELLE FORESTE,M,64,55,SPID,4
ABRUZZO,MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA,F,44,35,SPID,3
ABRUZZO,MINISTERO DELL'ECONOMIA E FINANZE,F, ,65,SPID,7
ABRUZZO,MINISTERO DELL'ECONOMIA E FINANZE,F,34,25,CNS,6
ABRUZZO,MINISTERO DELL'ECONOMIA E FINANZE,F,34,25,SPID,11
ABRUZZO,MINISTERO DELL'ECONOMIA E FINANZE,F,44,35,CNS,8
ABRUZZO,MINISTERO DELL'ECONOMIA E FINANZE,F,44,35,SPID,9
ABRUZZO,MINISTERO DELL'ECONOMIA E FINANZE,F,54,45,CNS,8
ABRUZZO,MINISTERO DELL'ECONOMIA E FINANZE,F,54,45,SPID,26
ABRUZZO,MINISTERO DELL'ECONOMIA E FINANZE,F,64,55,CNS,20
ABRUZZO,MINISTERO DELL'ECONOMIA E FINANZE,F,64,55,SPID,21
ABRUZZO,MINISTERO DELL'ECONOMIA E FINANZE,M, ,65,CNS,3
ABRUZZO,MINISTERO DELL'ECONOMIA E FINANZE,M, ,65,SPID,13
ABRUZZO,MINISTERO DELL'ECONOMIA E FINANZE,M,34,25,CNS,2
ABRUZZO,MINISTERO DELL'ECONOMIA E FINANZE,M,34,25,SPID,11
ABRUZZO,MINISTERO DELL'ECONOMIA E FINANZE,M,44,35,CNS,5
ABRUZZO,MINISTERO DELL'ECONOMIA E FINANZE,M,44,35,SPID,12
ABRUZZO,MINISTERO DELL'ECONOMIA E FINANZE,M,54,45,CIE,3
ABRUZZO,MINISTERO DELL'ECONOMIA E FINANZE,M,54,45,CNS,6
ABRUZZO,MINISTERO DELL'ECONOMIA E FINANZE,M,54,45,SPID,19
ABRUZZO,MINISTERO DELL'ECONOMIA E FINANZE,M,64,55,CIE,3
ABRUZZO,MINISTERO DELL'ECONOMIA E FINANZE,M,64,55,CNS,16
ABRUZZO,MINISTERO DELL'ECONOMIA E FINANZE,M,64,55,SPID,41
ABRUZZO,MINISTERO DELL'INTERNO,F, ,65,CIE,2
ABRUZZO,MINISTERO DELL'INTERNO,F, ,65,SPID,19
ABRUZZO,MINISTERO DELL'INTERNO,F,24,18,SPID,29
ABRUZZO,MINISTERO DELL'INTERNO,F,34,25,SPID,84
ABRUZZO,MINISTERO DELL'INTERNO,F,34,25,SPID,30
ABRUZZO,MINISTERO DELL'INTERNO,F,44,35,SPID,27
ABRUZZO,MINISTERO DELL'INTERNO,F,44,35,SPID,30
ABRUZZO,MINISTERO DELL'INTERNO,F,54,45,CIE,2
ABRUZZO,MINISTERO DELL'INTERNO,F,54,45,CIE,8
ABRUZZO,MINISTERO DELL'INTERNO,F,54,45,CNS,2
ABRUZZO,MINISTERO DELL'INTERNO,F,54,45,SPID,90
ABRUZZO,MINISTERO DELL'INTERNO,F,54,45,SPID,28
ABRUZZO,MINISTERO DELL'INTERNO,F,64,55,CIE,10
ABRUZZO,MINISTERO DELL'INTERNO,F,64,55,CIE,14
ABRUZZO,MINISTERO DELL'INTERNO,F,64,55,CNS,3
ABRUZZO,MINISTERO DELL'INTERNO,F,64,55,CNS,25
ABRUZZO,MINISTERO DELL'INTERNO,F,64,55,SPID,122
ABRUZZO,MINISTERO DELL'INTERNO,F,64,55,SPID,139
ABRUZZO,MINISTERO DELL'INTERNO,M, ,65,SPID,2
ABRUZZO,MINISTERO DELL'INTERNO,M, ,65,SPID,29
ABRUZZO,MINISTERO DELL'INTERNO,M,24,18,CIE,4
ABRUZZO,MINISTERO DELL'INTERNO,M,24,18,SPID,17
ABRUZZO,MINISTERO DELL'INTERNO,M,24,18,SPID,91
ABRUZZO,MINISTERO DELL'INTERNO,M,34,25,CIE,4
ABRUZZO,MINISTERO DELL'INTERNO,M,34,25,SPID,271
ABRUZZO,MINISTERO DELL'INTERNO,M,34,25,SPID,121
ABRUZZO,MINISTERO DELL'INTERNO,M,44,35,CIE,9
ABRUZZO,MINISTERO DELL'INTERNO,M,44,35,CIE,7
ABRUZZO,MINISTERO DELL'INTERNO,M,44,35,SPID,315
ABRUZZO,MINISTERO DELL'INTERNO,M,44,35,SPID,248
ABRUZZO,MINISTERO DELL'INTERNO,M,54,45,CIE,7
ABRUZZO,MINISTERO DELL'INTERNO,M,54,45,CIE,29
ABRUZZO,MINISTERO DELL'INTERNO,M,54,45,CNS,9
ABRUZZO,MINISTERO DELL'INTERNO,M,54,45,CNS,4
ABRUZZO,MINISTERO DELL'INTERNO,M,54,45,SPID,323
ABRUZZO,MINISTERO DELL'INTERNO,M,54,45,SPID,588
ABRUZZO,MINISTERO DELL'INTERNO,M,64,55,CIE,30
ABRUZZO,MINISTERO DELL'INTERNO,M,64,55,CIE,20
ABRUZZO,MINISTERO DELL'INTERNO,M,64,55,CNS,8
ABRUZZO,MINISTERO DELL'INTERNO,M,64,55,CNS,11
ABRUZZO,MINISTERO DELL'INTERNO,M,64,55,SPID,358
ABRUZZO,MINISTERO DELL'INTERNO,M,64,55,SPID,413
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,F, ,65,CIE,28
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,F, ,65,FEDERATION,64
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,F, ,65,SPID,845
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,F,24,18,CIE,7
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,F,24,18,SPID,73
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,F,34,25,CIE,36
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,F,34,25,FEDERATION,6
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,F,34,25,SPID,1893
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,F,44,35,CIE,95
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,F,44,35,FEDERATION,49
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,F,44,35,SPID,3989
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,F,54,45,CIE,138
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,F,54,45,CNS,2
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,F,54,45,FEDERATION,127
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,F,54,45,SPID,5606
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,F,64,55,CIE,225
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,F,64,55,CNS,5
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,F,64,55,FEDERATION,348
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,F,64,55,SPID,5624
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,M, ,65,CIE,19
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,M, ,65,FEDERATION,12
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,M, ,65,SPID,304
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,M,24,18,CIE,2
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,M,24,18,SPID,22
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,M,34,25,CIE,25
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,M,34,25,SPID,615
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,M,44,35,CIE,21
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,M,44,35,FEDERATION,12
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,M,44,35,SPID,1027
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,M,54,45,CIE,42
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,M,54,45,FEDERATION,34
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,M,54,45,SPID,1247
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,M,64,55,CIE,80
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,M,64,55,CNS,3
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,M,64,55,FEDERATION,55
ABRUZZO,MINISTERO DELL'ISTRUZIONE E DEL MERITO,M,64,55,SPID,1470
ABRUZZO,MINISTERO DELLA CULTURA,F, ,65,SPID,12
ABRUZZO,MINISTERO DELLA CULTURA,F,34,25,SPID,18
ABRUZZO,MINISTERO DELLA CULTURA,F,44,35,SPID,45
ABRUZZO,MINISTERO DELLA CULTURA,F,54,45,CIE,3
ABRUZZO,MINISTERO DELLA CULTURA,F,54,45,SPID,28
ABRUZZO,MINISTERO DELLA CULTURA,F,64,55,CIE,3
ABRUZZO,MINISTERO DELLA CULTURA,F,64,55,SPID,42
ABRUZZO,MINISTERO DELLA CULTURA,M, ,65,SPID,4
ABRUZZO,MINISTERO DELLA CULTURA,M,34,25,CIE,2
ABRUZZO,MINISTERO DELLA CULTURA,M,34,25,SPID,17
ABRUZZO,MINISTERO DELLA CULTURA,M,44,35,SPID,23
ABRUZZO,MINISTERO DELLA CULTURA,M,54,45,SPID,21
ABRUZZO,MINISTERO DELLA CULTURA,M,64,55,CIE,4
ABRUZZO,MINISTERO DELLA CULTURA,M,64,55,SPID,19
ABRUZZO,MINISTERO DELLA DIFESA,F,24,18,CIE,2
ABRUZZO,MINISTERO DELLA DIFESA,F,24,18,SPID,11
ABRUZZO,MINISTERO DELLA DIFESA,F,24,18,SPID,96
ABRUZZO,MINISTERO DELLA DIFESA,F,34,25,SPID,67
ABRUZZO,MINISTERO DELLA DIFESA,F,34,25,SPID,16
ABRUZZO,MINISTERO DELLA DIFESA,F,44,35,CNS,6
ABRUZZO,MINISTERO DELLA DIFESA,F,44,35,SPID,15
ABRUZZO,MINISTERO DELLA DIFESA,F,44,35,SPID,59
ABRUZZO,MINISTERO DELLA DIFESA,F,44,35,SPID,11
ABRUZZO,MINISTERO DELLA DIFESA,F,54,45,CNS,6
ABRUZZO,MINISTERO DELLA DIFESA,F,54,45,CNS,2
ABRUZZO,MINISTERO DELLA DIFESA,F,54,45,SPID,4
ABRUZZO,MINISTERO DELLA DIFESA,F,54,45,SPID,11
ABRUZZO,MINISTERO DELLA DIFESA,F,54,45,SPID,15
ABRUZZO,MINISTERO DELLA DIFESA,F,64,55,CNS,8
ABRUZZO,MINISTERO DELLA DIFESA,F,64,55,SPID,17
ABRUZZO,MINISTERO DELLA DIFESA,M, ,65,SPID,11
ABRUZZO,MINISTERO DELLA DIFESA,M,24,18,CIE,13
ABRUZZO,MINISTERO DELLA DIFESA,M,24,18,SPID,308
ABRUZZO,MINISTERO DELLA DIFESA,M,24,18,SPID,10
ABRUZZO,MINISTERO DELLA DIFESA,M,34,25,CIE,8
ABRUZZO,MINISTERO DELLA DIFESA,M,34,25,CNS,2
ABRUZZO,MINISTERO DELLA DIFESA,M,34,25,SPID,4
ABRUZZO,MINISTERO DELLA DIFESA,M,34,25,SPID,264
ABRUZZO,MINISTERO DELLA DIFESA,M,34,25,SPID,25
ABRUZZO,MINISTERO DELLA DIFESA,M,44,35,CIE,25
ABRUZZO,MINISTERO DELLA DIFESA,M,44,35,CIE,3
ABRUZZO,MINISTERO DELLA DIFESA,M,44,35,CNS,41
ABRUZZO,MINISTERO DELLA DIFESA,M,44,35,CNS,3
ABRUZZO,MINISTERO DELLA DIFESA,M,44,35,CNS,6
ABRUZZO,MINISTERO DELLA DIFESA,M,44,35,SPID,97
ABRUZZO,MINISTERO DELLA DIFESA,M,44,35,SPID,15
ABRUZZO,MINISTERO DELLA DIFESA,M,44,35,SPID,547
ABRUZZO,MINISTERO DELLA DIFESA,M,54,45,CIE,22
ABRUZZO,MINISTERO DELLA DIFESA,M,54,45,CIE,8
ABRUZZO,MINISTERO DELLA DIFESA,M,54,45,CNS,5
ABRUZZO,MINISTERO DELLA DIFESA,M,54,45,CNS,10
ABRUZZO,MINISTERO DELLA DIFESA,M,54,45,CNS,89
ABRUZZO,MINISTERO DELLA DIFESA,M,54,45,SPID,435
ABRUZZO,MINISTERO DELLA DIFESA,M,54,45,SPID,33
